Year,variable,value
1,Real,4717255.0
2,Real,5948217.0
3,Real,9790328.0
4,Real,
5,Real,
1,Modeled,4512361.0
2,Modeled,6500665.0
3,Modeled,9365085.0
4,Modeled,13491669.0
5,Modeled,19436570.0
