Year,variable,value
1,Real,2242740.0
2,Real,2870950.0
3,Real,3522444.0
4,Real,
5,Real,
1,Modeled,2258657.0
2,Modeled,2830629.0
3,Modeled,3547443.0
4,Modeled,4445781.0
5,Modeled,5571609.0
