product,age_group,gender,state,ry,rydesc,prjtrx
MOUNJARO,65 to 74,UNKNOWN,MI,3,Nov 2022 - Oct 2023,1
MOUNJARO,65 to 74,UNKNOWN,OH,1,Nov 2024 - Oct 2025,11
MOUNJARO,65 to 74,UNKNOWN,OH,2,Nov 2023 - Oct 2024,3
MOUNJARO,65 to 74,UNKNOWN,OH,3,Nov 2022 - Oct 2023,2
MOUNJARO,75 to 84,FEMALE,MI,1,Nov 2024 - Oct 2025,48271
MOUNJARO,75 to 84,FEMALE,MI,2,Nov 2023 - Oct 2024,21384
MOUNJARO,75 to 84,FEMALE,MI,3,Nov 2022 - Oct 2023,4594
MOUNJARO,75 to 84,FEMALE,OH,1,Nov 2024 - Oct 2025,39780
MOUNJARO,75 to 84,FEMALE,OH,2,Nov 2023 - Oct 2024,16029
MOUNJARO,75 to 84,FEMALE,OH,3,Nov 2022 - Oct 2023,3918
MOUNJARO,75 to 84,MALE,MI,1,Nov 2024 - Oct 2025,36537
MOUNJARO,75 to 84,MALE,MI,2,Nov 2023 - Oct 2024,15769
MOUNJARO,75 to 84,MALE,MI,3,Nov 2022 - Oct 2023,3522
MOUNJARO,75 to 84,MALE,OH,1,Nov 2024 - Oct 2025,27063
MOUNJARO,75 to 84,MALE,OH,2,Nov 2023 - Oct 2024,10449
MOUNJARO,75 to 84,MALE,OH,3,Nov 2022 - Oct 2023,2494
MOUNJARO,75 to 84,UNKNOWN,MI,1,Nov 2024 - Oct 2025,8
MOUNJARO,75 to 84,UNKNOWN,MI,2,Nov 2023 - Oct 2024,1
MOUNJARO,85+,FEMALE,MI,1,Nov 2024 - Oct 2025,3241
MOUNJARO,85+,FEMALE,MI,2,Nov 2023 - Oct 2024,1404
MOUNJARO,85+,FEMALE,MI,3,Nov 2022 - Oct 2023,198
MOUNJARO,85+,FEMALE,OH,1,Nov 2024 - Oct 2025,2185
MOUNJARO,85+,FEMALE,OH,2,Nov 2023 - Oct 2024,721
MOUNJARO,85+,FEMALE,OH,3,Nov 2022 - Oct 2023,135
MOUNJARO,85+,MALE,MI,1,Nov 2024 - Oct 2025,3022
MOUNJARO,85+,MALE,MI,2,Nov 2023 - Oct 2024,1193
MOUNJARO,85+,MALE,MI,3,Nov 2022 - Oct 2023,193
MOUNJARO,85+,MALE,OH,1,Nov 2024 - Oct 2025,1647
MOUNJARO,85+,MALE,OH,2,Nov 2023 - Oct 2024,564
MOUNJARO,85+,MALE,OH,3,Nov 2022 - Oct 2023,146
MOUNJARO,85+,UNKNOWN,MI,2,Nov 2023 - Oct 2024,0
MOUNJARO,Under 20,FEMALE,MI,1,Nov 2024 - Oct 2025,307
MOUNJARO,Under 20,FEMALE,MI,2,Nov 2023 - Oct 2024,230
MOUNJARO,Under 20,FEMALE,MI,3,Nov 2022 - Oct 2023,166
MOUNJARO,Under 20,FEMALE,OH,1,Nov 2024 - Oct 2025,302
MOUNJARO,Under 20,FEMALE,OH,2,Nov 2023 - Oct 2024,285
MOUNJARO,Under 20,FEMALE,OH,3,Nov 2022 - Oct 2023,266
MOUNJARO,Under 20,MALE,MI,1,Nov 2024 - Oct 2025,160
MOUNJARO,Under 20,MALE,MI,2,Nov 2023 - Oct 2024,120
MOUNJARO,Under 20,MALE,MI,3,Nov 2022 - Oct 2023,63
MOUNJARO,Under 20,MALE,OH,1,Nov 2024 - Oct 2025,197
MOUNJARO,Under 20,MALE,OH,2,Nov 2023 - Oct 2024,172
MOUNJARO,Under 20,MALE,OH,3,Nov 2022 - Oct 2023,117
MOUNJARO,Unspecified,FEMALE,MI,1,Nov 2024 - Oct 2025,14
MOUNJARO,Unspecified,FEMALE,MI,3,Nov 2022 - Oct 2023,14
MOUNJARO,Unspecified,FEMALE,OH,1,Nov 2024 - Oct 2025,24
MOUNJARO,Unspecified,FEMALE,OH,2,Nov 2023 - Oct 2024,948
MOUNJARO,Unspecified,FEMALE,OH,3,Nov 2022 - Oct 2023,1124
MOUNJARO,Unspecified,MALE,MI,1,Nov 2024 - Oct 2025,38
MOUNJARO,Unspecified,MALE,MI,2,Nov 2023 - Oct 2024,11
MOUNJARO,Unspecified,MALE,MI,3,Nov 2022 - Oct 2023,15
MOUNJARO,Unspecified,MALE,OH,1,Nov 2024 - Oct 2025,14
MOUNJARO,Unspecified,MALE,OH,2,Nov 2023 - Oct 2024,557
MOUNJARO,Unspecified,MALE,OH,3,Nov 2022 - Oct 2023,457
MOUNJARO,Unspecified,UNKNOWN,MI,1,Nov 2024 - Oct 2025,3679
MOUNJARO,Unspecified,UNKNOWN,MI,2,Nov 2023 - Oct 2024,2188
MOUNJARO,Unspecified,UNKNOWN,MI,3,Nov 2022 - Oct 2023,778
MOUNJARO,Unspecified,UNKNOWN,OH,2,Nov 2023 - Oct 2024,148
MOUNJARO,Unspecified,UNKNOWN,OH,3,Nov 2022 - Oct 2023,157
OZEMPIC,20 to 39,FEMALE,MI,1,Nov 2024 - Oct 2025,29896
OZEMPIC,20 to 39,FEMALE,MI,2,Nov 2023 - Oct 2024,29145
OZEMPIC,20 to 39,FEMALE,MI,3,Nov 2022 - Oct 2023,33334
OZEMPIC,20 to 39,FEMALE,OH,1,Nov 2024 - Oct 2025,32918
OZEMPIC,20 to 39,FEMALE,OH,2,Nov 2023 - Oct 2024,42621
OZEMPIC,20 to 39,FEMALE,OH,3,Nov 2022 - Oct 2023,49254
OZEMPIC,20 to 39,MALE,MI,1,Nov 2024 - Oct 2025,17983
OZEMPIC,20 to 39,MALE,MI,2,Nov 2023 - Oct 2024,15833
OZEMPIC,20 to 39,MALE,MI,3,Nov 2022 - Oct 2023,14105
OZEMPIC,20 to 39,MALE,OH,1,Nov 2024 - Oct 2025,21323
OZEMPIC,20 to 39,MALE,OH,2,Nov 2023 - Oct 2024,22070
OZEMPIC,20 to 39,MALE,OH,3,Nov 2022 - Oct 2023,17041
OZEMPIC,20 to 39,UNKNOWN,MI,1,Nov 2024 - Oct 2025,9
OZEMPIC,20 to 39,UNKNOWN,OH,2,Nov 2023 - Oct 2024,1
OZEMPIC,20 to 39,UNKNOWN,OH,3,Nov 2022 - Oct 2023,6
OZEMPIC,40 to 59,FEMALE,MI,1,Nov 2024 - Oct 2025,189383
OZEMPIC,40 to 59,FEMALE,MI,2,Nov 2023 - Oct 2024,195694
OZEMPIC,40 to 59,FEMALE,MI,3,Nov 2022 - Oct 2023,179265
OZEMPIC,40 to 59,FEMALE,OH,1,Nov 2024 - Oct 2025,241828
OZEMPIC,40 to 59,FEMALE,OH,2,Nov 2023 - Oct 2024,275493
OZEMPIC,40 to 59,FEMALE,OH,3,Nov 2022 - Oct 2023,231300
OZEMPIC,40 to 59,MALE,MI,1,Nov 2024 - Oct 2025,161282
OZEMPIC,40 to 59,MALE,MI,2,Nov 2023 - Oct 2024,151483
OZEMPIC,40 to 59,MALE,MI,3,Nov 2022 - Oct 2023,116179
OZEMPIC,40 to 59,MALE,OH,1,Nov 2024 - Oct 2025,211363
OZEMPIC,40 to 59,MALE,OH,2,Nov 2023 - Oct 2024,206590
OZEMPIC,40 to 59,MALE,OH,3,Nov 2022 - Oct 2023,140112
OZEMPIC,40 to 59,UNKNOWN,MI,1,Nov 2024 - Oct 2025,14
OZEMPIC,40 to 59,UNKNOWN,MI,2,Nov 2023 - Oct 2024,8
OZEMPIC,40 to 59,UNKNOWN,MI,3,Nov 2022 - Oct 2023,9
OZEMPIC,40 to 59,UNKNOWN,OH,1,Nov 2024 - Oct 2025,112
OZEMPIC,40 to 59,UNKNOWN,OH,2,Nov 2023 - Oct 2024,30
OZEMPIC,40 to 59,UNKNOWN,OH,3,Nov 2022 - Oct 2023,38
OZEMPIC,60 to 64,FEMALE,MI,1,Nov 2024 - Oct 2025,77626
OZEMPIC,60 to 64,FEMALE,MI,2,Nov 2023 - Oct 2024,74303
OZEMPIC,60 to 64,FEMALE,MI,3,Nov 2022 - Oct 2023,55773
OZEMPIC,60 to 64,FEMALE,OH,1,Nov 2024 - Oct 2025,99246
OZEMPIC,60 to 64,FEMALE,OH,2,Nov 2023 - Oct 2024,100368
OZEMPIC,60 to 64,FEMALE,OH,3,Nov 2022 - Oct 2023,67543
OZEMPIC,60 to 64,MALE,MI,1,Nov 2024 - Oct 2025,67492
OZEMPIC,60 to 64,MALE,MI,2,Nov 2023 - Oct 2024,62092
OZEMPIC,60 to 64,MALE,MI,3,Nov 2022 - Oct 2023,44811
OZEMPIC,60 to 64,MALE,OH,1,Nov 2024 - Oct 2025,87023
OZEMPIC,60 to 64,MALE,OH,2,Nov 2023 - Oct 2024,79169
OZEMPIC,60 to 64,MALE,OH,3,Nov 2022 - Oct 2023,48982
OZEMPIC,60 to 64,UNKNOWN,MI,1,Nov 2024 - Oct 2025,2
OZEMPIC,60 to 64,UNKNOWN,MI,2,Nov 2023 - Oct 2024,6
OZEMPIC,60 to 64,UNKNOWN,OH,1,Nov 2024 - Oct 2025,22
OZEMPIC,60 to 64,UNKNOWN,OH,2,Nov 2023 - Oct 2024,17
OZEMPIC,60 to 64,UNKNOWN,OH,3,Nov 2022 - Oct 2023,0
OZEMPIC,65 to 74,FEMALE,MI,1,Nov 2024 - Oct 2025,137476
OZEMPIC,65 to 74,FEMALE,MI,2,Nov 2023 - Oct 2024,123861
OZEMPIC,65 to 74,FEMALE,MI,3,Nov 2022 - Oct 2023,83876
OZEMPIC,65 to 74,FEMALE,OH,1,Nov 2024 - Oct 2025,176897
OZEMPIC,65 to 74,FEMALE,OH,2,Nov 2023 - Oct 2024,155196
OZEMPIC,65 to 74,FEMALE,OH,3,Nov 2022 - Oct 2023,94724
OZEMPIC,65 to 74,MALE,MI,1,Nov 2024 - Oct 2025,112899
OZEMPIC,65 to 74,MALE,MI,2,Nov 2023 - Oct 2024,93123
OZEMPIC,65 to 74,MALE,MI,3,Nov 2022 - Oct 2023,61967
OZEMPIC,65 to 74,MALE,OH,1,Nov 2024 - Oct 2025,142640
OZEMPIC,65 to 74,MALE,OH,2,Nov 2023 - Oct 2024,114687
OZEMPIC,65 to 74,MALE,OH,3,Nov 2022 - Oct 2023,66899
OZEMPIC,65 to 74,UNKNOWN,MI,1,Nov 2024 - Oct 2025,7
OZEMPIC,65 to 74,UNKNOWN,MI,2,Nov 2023 - Oct 2024,17
OZEMPIC,65 to 74,UNKNOWN,MI,3,Nov 2022 - Oct 2023,6
OZEMPIC,65 to 74,UNKNOWN,OH,1,Nov 2024 - Oct 2025,7
OZEMPIC,65 to 74,UNKNOWN,OH,2,Nov 2023 - Oct 2024,1
OZEMPIC,65 to 74,UNKNOWN,OH,3,Nov 2022 - Oct 2023,2
OZEMPIC,75 to 84,FEMALE,MI,1,Nov 2024 - Oct 2025,50601
OZEMPIC,75 to 84,FEMALE,MI,2,Nov 2023 - Oct 2024,39097
